우편번호,설치기관주소,실제위치,설치기관명,경도,위도,GU_ID,GU_NAME,,,,,
6219,"서울특별시 강남구 도곡로43길 20 (역삼동, 래미안 그레이튼)",204동 1층 계단실,역삼동래미안그레이튼아파트,127.0486171,37.49686518,23,강남구,,,,,
6219,"서울특별시 강남구 도곡로43길 20 (역삼동, 래미안 그레이튼)",205동 1층 계단실,역삼동래미안그레이튼아파트,127.0486171,37.49686518,23,강남구,,,,,
6219,"서울특별시 강남구 도곡로43길 20 (역삼동, 래미안 그레이튼)",206동 1층 계단실,역삼동래미안그레이튼아파트,127.0486171,37.49686518,23,강남구,,,,,
6219,"서울특별시 강남구 도곡로43길 20 (역삼동, 래미안 그레이튼)",207동 1층 계단실,역삼동래미안그레이튼아파트,127.0486171,37.49686518,23,강남구,,,,,
6219,"서울특별시 강남구 도곡로43길 20 (역삼동, 래미안 그레이튼)",208동 1층 계단실,역삼동래미안그레이튼아파트,127.0486171,37.49686518,23,강남구,,,,,
6236,"서울특별시 강남구 테헤란로20길 9, 동궁빌딩 (역삼동)",1층 로비,동궁빌딩,127.0345413,37.49918645,23,강남구,,,,,
6168,서울특별시 강남구 삼성로 512 (삼성동),1층로비,삼성동빌딩,127.0565982,37.50810735,23,강남구,,,,,
3919,서울특별시 마포구 월드컵북로62길 11,2층 현관,일본인학교,126.8844154,37.5836103,14,마포구,,,,,
6050,"서울특별시 강남구 언주로 721, 서울세관 (논현동)",1층 로비,서울본부세관,127.0337788,37.51830058,23,강남구,,,,,
5241,서울특별시 강동구 상암로3길 28,암사제2동주민센터,암사제2동주민센터,127.1272709,37.5517063,25,강동구,,,,,
1145,"서울특별시 강북구 한천로 897, 강북보건소,번2동 주민센터 (번동)",특수구급차 내,강북구보건소,127.0390622,37.6318813,9,강북구,,,,,
4922,서울특별시 광진구 긴고랑로 110,중곡종합건강센터 내,중곡보건지소,127.0871651,37.55946435,5,광진구,,,,,
4963,서울특별시 광진구 워커힐로 177  (광장동),비스타호텔 1층 프론트,sk네트웍스(주)워커힐,127.1117068,37.55862873,5,광진구,,,,,
4963,서울특별시 광진구 워커힐로 177  (광장동),비스타호텔 3층 피트니스센터 내부,sk네트웍스(주)워커힐,127.1117068,37.55863008,5,광진구,,,,,
4963,서울특별시 광진구 워커힐로 177  (광장동),비스타호텔 보안과 사무실 내,sk네트웍스(주)워커힐,127.1117068,37.55862873,5,광진구,,,,,
4963,서울특별시 광진구 워커힐로 177  (광장동),그랜드워커힐호텔 본관 1층 로비,sk네트웍스(주)워커힐,127.1117068,37.55863008,5,광진구,,,,,
4963,서울특별시 광진구 워커힐로 177  (광장동),그랜드워커힐호텔 본관 B2 보안과,sk네트웍스(주)워커힐,127.1117068,37.55863008,5,광진구,,,,,
2751,서울특별시 성북구 화랑로 63,구급차76루7945 내부,성북구보건소,127.0395315,37.60270967,8,성북구,,,,,
5584,서울특별시 송파구 백제고분로 242 송파구민회관,관리사무실 입구 왼쪽,송파구민회관,127.0932225,37.50218308,24,송파구,,,,,
5666,서울특별시 송파구 백제고분로42길 5 1층로비,송파구여성문화회관 1층로비,송파구여성문화회관,127.1097327,37.5059306,24,송파구,,,,,
8095,"서울특별시 양천구 목동서로 349, 센트럴프라자 (신정동)",1층 로비 안내데스크 앞쪽,센트럴프라자,126.8653068,37.51740654,15,양천구,,,,,
3433,"서울특별시 은평구 갈현로7길 49, 서울서북병원 (역촌동)",서북병원 본관 1층,서울특별시서북병원,126.9056649,37.60435804,12,은평구,,,,,
3433,"서울특별시 은평구 갈현로7길 49, 서울서북병원 (역촌동)",서북병원 동관 1층(당직실옆),서울특별시서북병원,126.9056649,37.60435804,12,은평구,,,,,
5091,"서울특별시 광진구 뚝섬로 568, 자양제3동주민센터 (자양동)",민원실 내,자양3동주민센터,127.0729024,37.53383394,5,광진구,,,,,
4915,"서울특별시 광진구 긴고랑로12길 49, 중곡제1동주민센터 (중곡동)",민원실내,중곡1동주민센터,127.0800508,37.56066681,5,광진구,,,,,
4927,서울특별시 광진구 능동로 346 .,민원실 내,중곡2동주민센터,127.0814764,37.56015047,5,광진구,,,,,
5047,"서울특별시 광진구 강변역로 17, 구의3동주민센터 (구의동)",구의3동주민센터 내,구의3동주민센터,127.091984,37.53799261,5,광진구,,,,,
4968,서울특별시 광진구 광장로 52 .,민원실 내,광장동주민센터,127.1030122,37.54688177,5,광진구,,,,,
4530,"서울특별시 중구 소공로 63, 신세계백화점건물 (충무로1가)",본관 1층 북문 출입구,신세계본점,126.980979,37.56091902,2,중구,,,,,
4582,서울특별시 중구 퇴계로90길 74,상황실임대동,래미안하이베르아파트(분양동),127.0209858,37.56103798,2,중구,,,,,
8094,"서울특별시 양천구 목동동로 81, 해누리타운 (신정동)",1층 당직실 내,양천구시설관리공단(해누리타운),126.8638564,37.51597633,15,양천구,,,,,
4099,서울특별시 마포구 서강로 68,데이케어센터내2층엘리베이터앞,마포데이케어센터,126.932206,37.54892548,14,마포구,,,,,
6350,"서울특별시 강남구 일원로 90, 밀알학교 (일원동)",학교 2층 교무실,밀알학교,127.0820718,37.48578186,23,강남구,,,,,
6194,"서울특별시 강남구 테헤란로 440, 포스코센터 (대치동)",공용부 2층 로비 안내데스크,포스코센터,127.056133,37.50581326,23,강남구,,,,,
7355,서울특별시 영등포구 여의대방로 259,1층 로비,공군회관,126.9241336,37.51024635,19,영등포구,,,,,
2748,"서울특별시 성북구 화랑로13길 144, 성북구민체육관 (하월곡동)",1층 입구,성북구민체육관,127.0418325,37.60845336,8,성북구,,,,,
6546,"서울특별시 서초구 신반포로 176, 센트럴시티 (반포동)",지하1층 보안실,JW메이어트호텔,127.0049304,37.50371299,22,서초구,,,,,
5857,서울특별시 송파구 정의로 37 서울동부구치소 (문정동),3층 의료과(치료실),서울동부구치소,127.1163822,37.48213045,24,송파구,,,,,
5540,서울특별시 송파구 올림픽로 424 올림픽공원 실내테니스장,실내테니스경기장 1층 회원안내실,올림픽공원실내테니스장,127.1280184,37.51380499,24,송파구,,,,,
5540,서울특별시 송파구 올림픽로 424 올림픽공원 수영장,1층 의무실,올림픽공원수영장,127.1155184,37.52034114,24,송파구,,,,,
5540,서울특별시 송파구 올림픽로 424 올림픽공원 수영장,"1층 헬스장, 수영장내",올림픽공원수영장,127.1161666,37.52103247,24,송파구,,,,,
5540,서울특별시 송파구 올림픽로 424 올림픽공원 골프연습장,중앙공급실 지하 1층 안내데스크,올림픽공원 체조경기장,127.1161666,37.52103247,24,송파구,,,,,
6636,"서울특별시 서초구 서초대로64길 76-21, 삼성라이온즈레포츠센타 (서초동)",3층 1번 PT룸 옆,삼성레포츠센터(신라),127.0215303,37.49182443,22,서초구,,,,,
6792,"서울특별시 서초구 헌릉로 13, 대한무역투자진흥공사(코트라) (염곡동)",1층 해외진출상담센터 옆,코트라,127.0447513,37.46512254,22,서초구,,,,,
5698,서울특별시 송파구 양재대로 897,1층현관,가락종합사회복지관,127.1068969,37.49556578,24,송파구,,,,,
5560,서울특별시 송파구 올림픽로12길 12,1층로비,잠실종합사회복지관,127.0827797,37.5105621,24,송파구,,,,,
5537,서울특별시 송파구 강동대로3길 5,1층 행정팀 앞,풍납종합사회복지관,127.113851,37.52772836,24,송파구,,,,,
6730,서울특별시 서초구 강남대로 273 해성산업,현관입구,해성산업(송남빌딩),127.0319425,37.48752607,22,서초구,,,,,
6273,"서울특별시 강남구 언주로57길 31, 도곡중학교 (도곡동)",보건실 앞,도곡중학교,127.0452179,37.49230771,23,강남구,,,,,
6003,"서울특별시 강남구 압구정로 225, 압구정중학교 (압구정동)",보건실 앞,압구정중학교,127.0330027,37.53024224,23,강남구,,,,,
6236,"서울특별시 강남구 테헤란로 152(역삼동, 강남파이낸스센터)",22층 까페테리아입구,구글코리아,127.0365086,37.50002424,23,강남구,,,,,
6073,서울특별시 강남구 학동로95길 51 (청담동),로비 앞,청담스포피아,127.0527608,37.52228066,23,강남구,,,,,
6236,"서울특별시 강남구 테헤란로 152 (역삼동, 강남파이낸스센터)",26층 정문출입구,유엘코리아,127.0365086,37.50002424,23,강남구,,,,,
6236,"서울특별시 강남구 테헤란로 152 (역삼동, 강남파이낸스센터)",26층 후문(사무실),유엘코리아,127.0365086,37.50002424,23,강남구,,,,,
6023,서울특별시 강남구 언주로173길 20 (신사동),의료기관 4층 투석실 내,세실내과의원,127.0318383,37.52813664,23,강남구,,,,,
6164,"서울특별시 강남구 영동대로 513, 코엑스 (삼성동)",아셈타워 1층,코엑스,127.059159,37.51182391,23,강남구,,,,,
6236,"서울특별시 강남구 테헤란로 152 (역삼동, 강남파이낸스센터)",34층 리셉션데스크(건물북쪽방향)입구 안쪽,주식회사 지마켓,127.0365086,37.50002424,23,강남구,,,,,
6236,"서울특별시 강남구 테헤란로 152 (역삼동, 강남파이낸스센터)",36층 사무실(건물북쪽방향)입구 안쪽,주식회사 지마켓,127.0365086,37.50002424,23,강남구,,,,,
